name,lat,log
Shaniwar Wada,18.5196,73.8553
Aga Khan Palace,18.552,73.9037
Sinhagad Fort,18.3662,73.7551
Osho Ashram,18.5364,73.8937
Pataleshwar Caves,18.5246,73.8476
