name,lat,log
Marina Beach,13.05,80.2824
Kapaleeshwarar Temple,13.0338,80.2682
San Thome Basilica,13.0235,80.279
Fort St. George,13.0827,80.2875
Guindy National Park,13.0078,80.2296
