name,lat,log
Lalbagh Botanical Garden,12.9507,77.5848
Cubbon Park,12.9763,77.5929
Bangalore Palace,13.0034,77.592
ISKCON Temple,13.0096,77.5511
Vidhana Soudha,12.9797,77.5907
