name,lat,log
Sabarmati Ashram,23.0606,72.5802
Kankaria Lake,23.006,72.6035
Adalaj Stepwell,23.1707,72.5822
Sidi Saiyyed Mosque,23.0264,72.581
Jama Masjid,23.0243,72.5815
