name,lat,log
Gateway of India,18.9218,72.8347
Marine Drive,18.943,72.8238
Elephanta Caves,18.9633,72.9311
Juhu Beach,19.0988,72.8267
Chhatrapati Shivaji Terminus,18.9402,72.8356
